field	field_role	type	n_present	missing_pct	values	association_status	action_block_assoc	action_recheck_assoc	action_enter_assoc	association_n
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:19:01	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7561, ""True"": 2}"	computed_or_insufficient	0.0228	0.02316	0.00137	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:19:04	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7561, ""True"": 2}"	computed_or_insufficient	0.0228	0.02316	0.00137	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:19:07	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7559, ""True"": 4}"	computed_or_insufficient	0.03224	0.02053	0.06701	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:19:08	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7551, ""True"": 12}"	computed_or_insufficient	0.01372	0.01438	0.00335	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:19:11	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7561, ""True"": 2}"	computed_or_insufficient	0.0228	0.02316	0.00137	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:19:18	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7562, ""True"": 1}"	computed_or_insufficient	0.01612	0.01637	0.00097	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:19:20	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7562, ""True"": 1}"	computed_or_insufficient	0.01612	0.01637	0.00097	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:19:24	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7562, ""True"": 1}"	computed_or_insufficient	0.01612	0.01637	0.00097	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:19:28	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7562, ""True"": 1}"	computed_or_insufficient	0.01612	0.01637	0.00097	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:19:35	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7562, ""True"": 1}"	computed_or_insufficient	0.01612	0.01637	0.00097	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.length	collected_raw_precursor	numeric	7563	56.81	"{""max"": 60.0, ""mean"": 9.026312309929923, ""min"": 1.0}"	computed_or_insufficient	0.03211	-0.02776	-0.02549	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_source_minute_count	collected_raw_precursor	numeric	14480	17.3	"{""max"": 267.0, ""mean"": 4.493715469613259, ""min"": 0.0}"	computed_or_insufficient	0.01478	-0.01254	-0.01326	14480
payload.entry_candle_context.multi_timeframe_context.source_quality.no_trade_gap_acceptance_max_consecutive_minutes	collected_raw_precursor	numeric	14480	17.3	"{""max"": 3.0, ""mean"": 3.0, ""min"": 3.0}"	computed_or_insufficient				14480
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minute_count	collected_raw_precursor	numeric	14480	17.3	"{""max"": 77.0, ""mean"": 1.6927486187845304, ""min"": 0.0}"	computed_or_insufficient	0.05588	-0.05494	-0.00681	14480
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:08:01	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6440, ""True"": 183}"	computed_or_insufficient	0.01101	0.01383	0.01485	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:08:02	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6612, ""True"": 11}"	computed_or_insufficient	0.00198	0.00266	0.00359	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:08:03	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6606, ""True"": 17}"	computed_or_insufficient	0.00132	0.00215	0.00447	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:08:05	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6616, ""True"": 7}"	computed_or_insufficient	0.00377	0.00326	0.00287	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:08:06	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6617, ""True"": 6}"	computed_or_insufficient	0.00046	3e-05	0.00265	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:08:07	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6615, ""True"": 8}"	computed_or_insufficient	0.00252	0.0031	0.00306	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:08:08	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6615, ""True"": 8}"	computed_or_insufficient	0.00252	0.0031	0.00306	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:08:09	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6621, ""True"": 2}"	computed_or_insufficient	0.01249	0.01228	0.00153	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:08:10	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6602, ""True"": 21}"	computed_or_insufficient	0.00087	5e-05	0.00497	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:08:12	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6622, ""True"": 1}"	computed_or_insufficient	0.00883	0.00868	0.00108	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:08:13	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6620, ""True"": 3}"	computed_or_insufficient	0.0153	0.01504	0.00188	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:08:14	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6622, ""True"": 1}"	computed_or_insufficient	0.00883	0.00868	0.00108	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:08:17	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6612, ""True"": 11}"	computed_or_insufficient	0.01367	0.01308	0.00359	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:01	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6398, ""True"": 225}"	computed_or_insufficient	0.06444	0.06351	0.00699	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:02	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6409, ""True"": 214}"	computed_or_insufficient	0.05566	0.05299	0.0161	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:03	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6416, ""True"": 207}"	computed_or_insufficient	0.03755	0.03667	0.0059	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:04	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6438, ""True"": 185}"	computed_or_insufficient	0.01937	0.01865	0.00445	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:05	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6472, ""True"": 151}"	computed_or_insufficient	0.04575	0.04351	0.01346	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:06	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6552, ""True"": 71}"	computed_or_insufficient	0.01604	0.02065	0.02438	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:07	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6497, ""True"": 126}"	computed_or_insufficient	0.00952	0.00012	0.05095	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:08	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6528, ""True"": 95}"	computed_or_insufficient	0.01704	0.01786	0.0039	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:09	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6445, ""True"": 178}"	computed_or_insufficient	0.00072	0.00344	0.01464	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:10	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6500, ""True"": 123}"	computed_or_insufficient	0.01628	0.01412	0.01212	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:11	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6409, ""True"": 214}"	computed_or_insufficient	0.01963	0.02038	0.00344	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:12	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6432, ""True"": 191}"	computed_or_insufficient	0.0056	0.00653	0.00486	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:13	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6517, ""True"": 106}"	computed_or_insufficient	0.00535	0.0033	0.01123	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:14	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6591, ""True"": 32}"	computed_or_insufficient	0.01792	0.01688	0.00614	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:15	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6535, ""True"": 88}"	computed_or_insufficient	0.03054	0.02882	0.01022	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:16	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6479, ""True"": 144}"	computed_or_insufficient	0.01759	0.01525	0.01313	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:17	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6535, ""True"": 88}"	computed_or_insufficient	0.01663	0.01762	0.00486	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:18	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6442, ""True"": 181}"	computed_or_insufficient	0.01496	0.0123	0.01477	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:19	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6570, ""True"": 53}"	computed_or_insufficient	0.01092	0.00951	0.00791	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:20	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6569, ""True"": 54}"	computed_or_insufficient	0.00215	0.00349	0.03043	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:21	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6569, ""True"": 54}"	computed_or_insufficient	0.03328	0.03555	0.01122	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:22	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6548, ""True"": 75}"	computed_or_insufficient	0.02875	0.03322	0.02322	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:23	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6566, ""True"": 57}"	computed_or_insufficient	0.00488	0.00686	0.01049	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:24	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6363, ""True"": 260}"	computed_or_insufficient	0.00585	0.01083	0.02666	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:25	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6414, ""True"": 209}"	computed_or_insufficient	0.0368	0.03956	0.01374	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:26	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6371, ""True"": 252}"	computed_or_insufficient	0.03637	0.03332	0.01752	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:27	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6422, ""True"": 201}"	computed_or_insufficient	0.01387	0.01105	0.01558	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:28	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6517, ""True"": 106}"	computed_or_insufficient	0.02058	0.01861	0.01123	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:29	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6584, ""True"": 39}"	computed_or_insufficient	0.01131	0.00844	0.0158	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:30	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6434, ""True"": 189}"	computed_or_insufficient	0.03372	0.02901	0.0264	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:31	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6436, ""True"": 187}"	computed_or_insufficient	0.0352	0.03625	0.00459	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:32	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6468, ""True"": 155}"	computed_or_insufficient	0.04468	0.04746	0.01364	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:33	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6590, ""True"": 33}"	computed_or_insufficient	0.02371	0.02269	0.00623	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:34	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6519, ""True"": 104}"	computed_or_insufficient	0.02672	0.0248	0.01113	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:35	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6544, ""True"": 79}"	computed_or_insufficient	0.01441	0.01269	0.00968	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:36	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6554, ""True"": 69}"	computed_or_insufficient	0.00158	0.00622	0.02498	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:37	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6528, ""True"": 95}"	computed_or_insufficient	0.009	0.00708	0.01063	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:38	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6255, ""True"": 368}"	computed_or_insufficient	0.0315	0.03284	0.00629	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:39	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6609, ""True"": 14}"	computed_or_insufficient	0.0016	0.00236	0.00405	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:40	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6546, ""True"": 77}"	computed_or_insufficient	0.02743	0.0288	0.00656	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:41	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6558, ""True"": 65}"	computed_or_insufficient	0.01662	0.01508	0.00877	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:42	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6554, ""True"": 69}"	computed_or_insufficient	0.02982	0.02831	0.00904	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:43	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6531, ""True"": 92}"	computed_or_insufficient	0.03903	0.03731	0.01046	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:44	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6457, ""True"": 166}"	computed_or_insufficient	0.02149	0.01899	0.01412	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:45	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6611, ""True"": 12}"	computed_or_insufficient	0.00815	0.0075	0.00375	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:46	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6546, ""True"": 77}"	computed_or_insufficient	0.03932	0.03777	0.00955	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:47	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6523, ""True"": 100}"	computed_or_insufficient	0.0498	0.04806	0.01091	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:48	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6448, ""True"": 175}"	computed_or_insufficient	0.02306	0.0205	0.01451	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:49	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6355, ""True"": 268}"	computed_or_insufficient	0.02634	0.02476	0.00932	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:50	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6500, ""True"": 123}"	computed_or_insufficient	0.03044	0.03073	0.00068	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:51	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6485, ""True"": 138}"	computed_or_insufficient	0.04686	0.04474	0.01285	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:52	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6572, ""True"": 51}"	computed_or_insufficient	0.0278	0.02573	0.012	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:53	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6550, ""True"": 73}"	computed_or_insufficient	0.00651	0.00827	0.0093	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:54	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6442, ""True"": 181}"	computed_or_insufficient	0.01887	0.01623	0.01477	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:55	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6472, ""True"": 151}"	computed_or_insufficient	0.018	0.01561	0.01346	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:56	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6570, ""True"": 53}"	computed_or_insufficient	0.02522	0.0239	0.00791	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:57	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6276, ""True"": 347}"	computed_or_insufficient	0.01601	0.01945	0.01805	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:58	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6154, ""True"": 469}"	computed_or_insufficient	0.0382	0.0364	0.01085	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:09:59	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6595, ""True"": 28}"	computed_or_insufficient	0.00264	0.00159	0.00574	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:00	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6424, ""True"": 199}"	computed_or_insufficient	0.03133	0.02863	0.0155	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:01	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6483, ""True"": 140}"	computed_or_insufficient	0.01481	0.0125	0.01295	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:02	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6590, ""True"": 33}"	computed_or_insufficient	0.01014	0.00904	0.00623	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:03	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6554, ""True"": 69}"	computed_or_insufficient	0.01727	0.01884	0.00797	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:04	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6449, ""True"": 174}"	computed_or_insufficient	0.0344	0.03191	0.01447	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:05	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6583, ""True"": 40}"	computed_or_insufficient	0.00154	0.00282	0.00687	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:06	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6448, ""True"": 175}"	computed_or_insufficient	0.02704	0.0245	0.01451	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:07	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6564, ""True"": 59}"	computed_or_insufficient	0.02745	0.02606	0.00835	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:08	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6601, ""True"": 22}"	computed_or_insufficient	0.00834	0.00933	0.00509	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:09	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6504, ""True"": 119}"	computed_or_insufficient	0.03949	0.02745	0.0661	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:10	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6541, ""True"": 82}"	computed_or_insufficient	0.01748	0.01651	0.00576	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:11	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6545, ""True"": 78}"	computed_or_insufficient	0.01645	0.01476	0.00962	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:12	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6482, ""True"": 141}"	computed_or_insufficient	0.04862	0.04649	0.01299	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:13	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6574, ""True"": 49}"	computed_or_insufficient	0.03231	0.03108	0.00761	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:14	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6613, ""True"": 10}"	computed_or_insufficient	0.01974	0.01922	0.00343	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:15	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6478, ""True"": 145}"	computed_or_insufficient	0.02262	0.02469	0.01043	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:16	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6559, ""True"": 64}"	computed_or_insufficient	0.0254	0.02393	0.0087	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:17	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6550, ""True"": 73}"	computed_or_insufficient	0.00346	0.0052	0.0093	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:18	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6253, ""True"": 370}"	computed_or_insufficient	0.00976	0.0156	0.03122	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:19	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6375, ""True"": 248}"	computed_or_insufficient	0.00248	0.00433	0.00992	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:20	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6409, ""True"": 214}"	computed_or_insufficient	0.00341	0.00407	0.00344	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:21	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6593, ""True"": 30}"	computed_or_insufficient	0.00578	0.00471	0.00594	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:22	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6533, ""True"": 90}"	computed_or_insufficient	0.04033	0.04141	0.00458	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:23	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6466, ""True"": 157}"	computed_or_insufficient	0.02823	0.03005	0.00898	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:24	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6466, ""True"": 157}"	computed_or_insufficient	0.03661	0.03427	0.01373	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:25	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6605, ""True"": 18}"	computed_or_insufficient	0.01144	0.01235	0.0046	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:26	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6494, ""True"": 129}"	computed_or_insufficient	0.03906	0.03929	8e-05	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:27	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6569, ""True"": 54}"	computed_or_insufficient	0.0262	0.02486	0.00799	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:28	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6515, ""True"": 108}"	computed_or_insufficient	0.04726	0.04795	0.0023	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:29	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6576, ""True"": 47}"	computed_or_insufficient	0.01135	0.00898	0.01313	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:30	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6559, ""True"": 64}"	computed_or_insufficient	0.03843	0.04031	0.00896	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:31	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6577, ""True"": 46}"	computed_or_insufficient	0.03709	0.03594	0.00737	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:32	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6596, ""True"": 27}"	computed_or_insufficient	0.02099	0.03011	0.04858	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:33	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6554, ""True"": 69}"	computed_or_insufficient	0.04551	0.04409	0.00904	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:34	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6567, ""True"": 56}"	computed_or_insufficient	0.0281	0.02675	0.00813	6623
payload.entry_candle_context.multi_timeframe_context.source_quality.observed_no_trade_minutes.contains:10:35	collected_raw_precursor	categorical	6623	62.17	"{""False"": 6603, ""True"": 20}"	computed_or_insufficient	0.01633	0.01552	0.00485	6623
